title,year
Cinema-Paradiso,1988.0
Cirque-du-Freak-The-Vampire's-Assistan,2009.0
Citizen-Kane,1941.0
City-of-Joy,1992.0
Clash-of-the-Titans,2010.0
Clerks,1994.0
Cliffhanger,1993.0
Cobb,1994.0
Code-of-Silence,1985.0
Cold-Mountain,2003.0
Collatera,2016.0
Collateral-Damage,2002.0
Colombiana,2011.0
Color-of-Nig,1994.0
Commando,1985.0
Conan-the-Barbarian,1982.0
Confessions-of-a-Dangerous-Mind,2002.0
Confidence,2003.0
Constantine,2005.0
"Cooler,-The",2003.0
Coraline,2009.0
Coriolanus,2011.0
Cowboys-&-Aliens,2011.0
Cradle-2-the-Grave,2003.0
Crank,2006.0
Cras,2004.0
"Crazy,-Stupid,-Love",2011.0
Crazylove,2005.0
Creation,2009.0
Crime-Spree,2003.0
"Croods,-The",2013.0
"Crouching-Tiger,-Hidden-Dragon",2000.0
Croupier,1998.0
"Crow,-The",1994.0
"Crow-City-of-Angels,-The",1996.0
Cruel-Intentions,1999.0
Crying-Game,1992.0
"Curious-Case-of-Benjamin-Button,-The",2008.0
Custody,2016.0
"Damned-United,-The",2009.0
Dances-with-Wolves,1990.0
Dark-City,1998.0
"Dark-Knight-Rises,-The",2012.0
Dark-Star,1974.0
Darkman,1990.0
Date-Nig,2010.0
Dave-Barry's-Complete-Guide-to-Guys,2005.0
Dawn-of-the-Dead,2004.0
Day-of-the-Dead,1985.0
"Day-the-Clown-Cried,-The",1972.0
"Day-the-Earth-Stood-Still,-The",2008.0
Days-of-Heaven,1978.0
Dead-Poets-Society,1989.0
Death-at-a-Funera,2007.0
Death-to-Smoochy,2002.0
"Debt,-The",2010.0
Deception,2013.0
Deep-Cover,
Deep-Rising,1998.0
"Deer-Hunter,-The",1978.0
Defiance,2013.0
"Departed,-The",2006.0
"Descendants,-The",2017.0
Despicable-Me-2,2010.0
Detroit-Rock-City,1999.0
Devil's-Advocate,1997.0
Devil-in-a-Blue-Dress,1995.0
Die-Hard-2,1990.0
Die-Hard,1988.0
Diner,1982.0
"Distinguished-Gentleman,-The",1992.0
Disturbia,2007.0
Django-Unchained,2012.0
Do-The-Right-Thing,1989.0
Dog-Day-Afternoon,1975.0
Dogma,1999.0
Donnie-Brasco,1997.0
"Doors,-The",1991.0
Double-Indemnity,1944.0
Drag-Me-to-He,2009.0
Dragonslayer,1981.0
Drive-Angry,2011.0
Drive,2011.0
Drop-Dead-Gorgeous,1999.0
"Dry-White-Season,-A",1989.0
Duck-Soup,1933.0
Dumb-and-Dumber,2014.0
Dune,1984.0
E.T,1982.0
Eagle-Eye,2008.0
Eastern-Promises,2007.0
Easy-A,2010.0
Ed-TV,1999.0
Ed-Wood,1994.0
Edward-Scissorhands,1990.0
Eight-Legged-Freaks,2002.0
El-Mariachi,1992.0
Election,1999.0
"Elephant-Man,-The",1980.0
Elizabeth-The-Golden-Age,2007.0
Enoug,2013.0
Entrapmen,1999.0
Erik-the-Viking,1989.0
Erin-Brockovic,2000.0
Escape-From-L.A,1996.0
Escape-From-New-York,1981.0
Eternal-Sunshine-of-the-Spotless-Mind,2004.0
Even-Cowgirls-Get-the-Blues,1993.0
Event-Horizon,1997.0
Evil-Dead-II-Dead-by-Dawn,2009.0
Evil-Dead,2013.0
Excalibur,1981.0
eXistenZ,1999.0
Extrac,2015.0
"Fabulous-Baker-Boys,-The",1989.0
Face-Off,1971.0
Fair-Game,2010.0
"Family-Man,-The",2000.0
Fantastic-Four,2015.0
Fantastic-Mr-Fox,2009.0
Fargo,2014.0
Fast-Times-at-Ridgemont-Hig,1982.0
Fatal-Instinc,1993.0
"Fault-in-Our-Stars,-The",2014.0
Fear-and-Loathing-in-Las-Vegas,1998.0
Feas,2005.0
Ferris-Bueller's-Day-Off,1986.0
Field-of-Dreams,1989.0
"Fifth-Element,-The",1997.0
Fight-Club,1999.0
"Fighter,-The",2010.0
Final-Destination-2,2003.0
Final-Destination,2000.0
Finding-Nemo,2003.0
Five-Easy-Pieces,1970.0
Flash-Gordon,1980.0
Fletc,1997.0
Flig,1986.0
"Flintstones,-The",1994.0
Forrest-Gump,1994.0
Four-Feathers,2002.0
Four-Rooms,1995.0
Foxcatcher,2014.0
Fracture,2007.0
Frances,1982.0
Frankenstein,2015.0
Freaked,1993.0
Freddy-vs.-Jason,2003.0
"French-Connection,-The",1971.0
Friday-the-13,2017.0
Friday-the-13th-Part-VIII-Jason-Takes-Manhattan,1989.0
Fright-Nig,2011.0
Fright-Night-(1985),2017.0
From-Dusk-Till-Dawn,1996.0
From-Here-to-Eternity,1953.0
Frozen-(Disney),2014.0
Frozen-River,2008.0
Frozen,2013.0
Fruitvale-Station,2013.0
"Fugitive,-The",1993.0
Funny-People,2009.0
G.I.-Jane,1997.0
G.I.-Joe-The-Rise-of-Cobra,2009.0
"Game,-The",2011.0
Game-6,2011.0
Gamer,2009.0
Gandhi,1982.0
Gang-Related,2014.0
Gangs-of-New-York,2002.0
Garden-State,2004.0
Gattaca,1997.0
Get-Carter,1971.0
Get-Low,2009.0
Get-Shorty,1995.0
"Getaway,-The",2013.0
Ghos,2016.0
"Ghost-and-the-Darkness,-The",1996.0
Ghost-Rider,2007.0
Ghost-Ship,2002.0
Ghost-World,2001.0
Ghostbusters-2,2016.0
Ghostbusters,2016.0
Ginger-Snaps,2000.0
"Girl-with-the-Dragon-Tattoo,-The",2011.0
Gladiator,2000.0
Glengarry-Glen-Gross,1992.0
Go,1999.0
Godfather-Part-II,1974.0
"Godfather-Part-III,-The",1990.0
Godfather,1972.0
Gods-and-Monsters,1998.0
Godzilla,2016.0
Gone-in-60-Seconds,1974.0
"Good-Girl,-The",2002.0
Good-Will-Hunting,1997.0
Gothika,2003.0
"Graduate,-The",1967.0
Gran-Torino,2008.0
Grand-Hote,1932.0
Grand-Theft-Parsons,2003.0
"Grapes-of-Wrath,-The",1940.0
Gravity,2013.0
"Green-Mile,-The",1999.0
Gremlins-2,1984.0
Gremlins,1984.0
"Grifters,-The",1990.0
Grosse-Point-Blank,1997.0
Groundhog-Day,1993.0
"Grudge,-The",2004.0
Hackers,1995.0
Hall-Pass,2011.0
Halloween-The-Curse-of-Michael-Myers,1995.0
Hancock,2008.0
"Hangover,-The",2009.0
Hanna,2011.0
Hannah-and-Her-Sisters,1986.0
Hanniba,2013.0
"Happy-Birthday,-Wanda-June",1971.0
Happy-Fee,2006.0
Hard-Rain,1998.0
Hard-to-Ki,1990.0
Harold-and-Kumar-Go-to-White-Castle,2004.0
"Haunting,-The",2005.0
He's-Just-Not-That-Into-You,2009.0
Hea,2016.0
Heathers,1988.0
Heavenly-Creatures,1994.0
"Hebrew-Hammer,-The",2003.0
Heis,2015.0
Hellbound-Hellraiser-II,1988.0
Hellboy-2-The-Golden-Army,2008.0
Hellboy,2004.0
Hellraiser-3-Hell-on-Ear,1992.0
Hellraiser-Deader,2005.0
Hellraiser-Hellseeker,2002.0
Hellraiser,1987.0
"Help,-The",2011.0
Henry's-Crime,2010.0
Henry-Foo,1997.0
Hesher,2010.0
High-Fidelity,2000.0
Highlander-Endgame,2000.0
Highlander,1986.0
"Hills-Have-Eyes,-The",2006.0
His-Girl-Friday,1940.0
Hitchcock,2012.0
"Hitchhiker's-Guide-to-the-Galaxy,-The",2005.0
Hollow-Man,2000.0
Honeydripper,2007.0
Horrible-Bosses,2014.0
"Horse-Whisperer,-The",1998.0
"Hospital,-The",1963.0
Hostage,2005.0
Hot-Tub-Time-Machine,2010.0
Hotel-Rwanda,2004.0
House-of-1000-Corpses,2003.0
How-to-Lose-Friends-&-Alienate-People,2008.0
How-to-Train-Your-Dragon-2,2014.0
How-to-Train-Your-Dragon,2010.0
Hudson-Hawk,1991.0
"Hudsucker-Proxy,-The",1994.0
Human-Nature,2001.0
"Hunt-for-Red-October,-The",1990.0
I'll-Do-Anything,1994.0
"I,-Robo",2015.0
I-Am-Number-Four,2011.0
I-am-Sa,2001.0
I-Love-You-Phillip-Morris,2009.0
I-Spit-on-Your-Grave,2010.0
I-Still-Know-What-You-Did-Last-Summer,1998.0
"Ice-Storm,-The",1997.0
"Ides-of-March,-The",2011.0
"Imaginarium-of-Doctor-Parnassus,-The",2009.0
In-the-Bedroo,2001.0
In-the-Loop,2009.0
Inception,2010.0
"Incredibles,-The",2004.0
Indiana-Jones-and-the-Last-Crusade,1989.0
Indiana-Jones-and-the-Raiders-of-the-Lost-Ark,2008.0
Indiana-Jones-and-the-Temple-of-Doo,1984.0
Indiana-Jones-IV,2019.0
"Informant,-The",2009.0
Inglourious-Basterds,2009.0
"Insider,-The",1999.0
Insidious,2010.0
Insomnia,2002.0
Interstellar,2014.0
Interview-with-the-Vampire,2012.0
Into-the-Wild,2007.0
Intolerable-Cruelty,2003.0
Inventing-the-Abbotts,1997.0
"Invention-of-Lying,-The",2009.0
Invictus,2009.0
"Iron-Lady,-The",2011.0
"Island,-The",2010.0
It's-a-Wonderful-Life,1946.0
It's-Complicated,2009.0
It-Happened-One-Nig,1934.0
"Italian-Job,-The",2003.0
"Jacket,-The",2005.0
Jackie-Brown,1997.0
Jacob's-Ladder,1990.0
Jane-Eyre,2011.0
Jason-X,2001.0
Jaws-2,1978.0
Jaws,1975.0
Jay-and-Silent-Bob-Strike-Back,2001.0
Jennifer's-Body,2009.0
Jennifer-Eig,2009.0
Jerry-Maguire,1996.0
Jeux-Interdits,2005.0
JFK,1991.0
Jimmy-and-Judy,2006.0
John-Q,2002.0
Judge-Dredd,1995.0
Juno,2007.0
Jurassic-Park-III,2001.0
Jurassic-Park-The-Lost-World,1997.0
Jurassic-Park,1993.0
Kafka,1991.0
Kalifornia,1993.0
Kate-&-Leopold,2001.0
"Kids-Are-All-Right,-The",2010.0
Kids,1995.0
Kill-Bill-Volume-1-&-2,2004.0
Killing-Zoe,1993.0
"King's-Speech,-The",2010.0
King-Kong,1933.0
"King-of-Comedy,-The",1999.0
"Kingdom,-The",2014.0
Klute,1971.0
Knocked-Up,2007.0
Kramer-vs-Kramer,1979.0
Kundun,1997.0
Kung-Fu-Panda,2016.0
L.A.-Confidentia,1997.0
Labor-of-Love,
Labyrin,2015.0
"Ladykillers,-The",1955.0
Lake-Placid,1999.0
Land-of-the-Dead,2005.0
Larry-Crowne,2011.0
"Last-Boy-Scout,-The",1991.0
Last-Chance-Harvey,2008.0
"Last-Flight,-The",2009.0
"Last-of-the-Mohicans,-The",1992.0
"Last-Samurai,-The",2003.0
"Last-Station,-The",2009.0
Last-Tango-in-Paris,1972.0
Law-Abiding-Citizen,2009.0
Le-Diable-par-la-Queue,1969.0
Legally-Blonde,2001.0
Legend,2015.0
Legion,2017.0
Les-Miserables,2012.0
Les-Tontons-Flingueurs,2009.0
Leviathan,2014.0
Liar-Liar,1997.0
"Life-of-David-Gale,-The",2003.0
Life-of-Pi,2012.0
Life,2017.0
Light-Sleeper,1992.0
"Limey,-The",1999.0
Limitless,2015.0
"Lincoln-Lawyer,-The",2011.0
Lincoln,2012.0
Little-Athens,2005.0
"Little-Mermaid,-The",1989.0
Little-Nicky,2000.0
Living-in-Oblivion,1995.0
"Lock,-Stock-and-Two-Smoking-Barrels",1998.0
Logan's-Run,1976.0
Lone-Star,1993.0
"Long-Kiss-Goodnight,-The",1996.0
Looper,2012.0
Lord-of-Illusions,1995.0
"Lord-of-the-Rings-Fellowship-of-the-Ring,-The",2001.0
Lord-of-the-Rings-Return-of-the-King,2003.0
Lord-of-the-Rings-The-Two-Towers,2002.0
Lord-of-War,2005.0
"Losers,-The",2010.0
Lost-Highway,1997.0
Lost-Horizon,1937.0
Lost-in-Space,1965.0
Lost-in-Translation,2003.0
Love-and-Basketba,2016.0
Machete,2010.0
Machine-Gun-Preacher,2011.0
Mad-Max-2-The-Road-Warrior,2016.0
Made,2001.0
Magnolia,1999.0
"Majestic,-The-(The-Bijou)",2001.0
Major-League,1989.0
Malcolm-X,1992.0
Malibu's-Most-Wanted,2003.0
Man-in-the-Iron-Mask,1998.0
Man-On-Fire,2004.0
Man-on-the-Moon,1999.0
Man-Trouble,1992.0
"Man-Who-Knew-Too-Much,-The",1956.0
"Man-Who-Wasn't-There,-The",2001.0
"Manchurian-Candidate,-The",2004.0
Manhattan-Murder-Mystery,1993.0
Manhunter,1986.0
Margare,2011.0
Margin-Ca,2011.0
Margot-at-the-Wedding,2007.0
"Mariachi,-E",1992.0
Marley-&-Me,2008.0
Martha-Marcy-May-Marlene,2011.0
Marty,1955.0
"Mask,-The",1994.0
"Master,-The",2016.0
Master-and-Commander,2012.0
"Matrix,-The",1999.0
"Matrix-Reloaded,-The",2003.0
Max-Payne,2008.0
Mean-Streets,1973.0
"Mechanic,-The",2011.0
Meet-Joe-Black,1998.0
Meet-John-Doe,1941.0
Megamind,2010.0
Memento,2000.0
Men-in-Black-3,2012.0
Men-in-Black,1997.0
"Men-Who-Stare-at-Goats,-The",2009.0
Metro,1997.0
Miami-Vice,1984.0
Midnight-Cowboy,1969.0
Midnight-Express,1978.0
Midnight-in-Paris,2011.0
Mighty-Morphin-Power-Rangers-The-Movie,1993.0
Milk,2008.0
Miller's-Crossing,1990.0
Mimic,1997.0
Mini's-First-Time,2006.0
"Miracle-Worker,-The",1962.0
Mirrors,2008.0
Misery,1990.0
Mission-Impossible-II,2000.0
Mission-Impossible,1966.0
Mission-to-Mars,2000.0
Moneyba,2011.0
Monkeybone,2001.0
Monte-Carlo,1930.0
Moon,2009.0
Moonrise-Kingdo,2012.0
Moonstruck,1987.0
Mr-Blandings-Builds-His-Dream-House,1948.0
Mr-Brooks,2007.0
Mr-Deeds-Goes-to-Town,1936.0
Mrs.-Brown,1997.0
Mud,2012.0
Mulan,1998.0
Mulholland-Drive,2001.0
Mumford,1999.0
"Mummy,-The",2017.0
Music-of-the-Hear,1999.0
Mute-Witness,1995.0
My-Best-Friend's-Wedding,1997.0
My-Gir,1991.0
My-Mother-Dreams-the-Satan's-Disciples-in-New-York,1998.0
My-Week-with-Marilyn,2011.0
Napoleon-Dynamite,2004.0
Nashville,2012.0
Natural-Born-Killers,1994.0
Never-Been-Kissed,1999.0
New-York-Minute,2004.0
Newsies,1992.0
Nex,2010.0
Next-Friday,2000.0
"Next-Three-Days,-The",2010.0
Ni-vu-ni-connu,2011.0
Nick-of-Time,1995.0
Night-Time-(The-Poltergeist-Treatment),
Nightbreed,1990.0
"Nightmare-Before-Christmas,-The",1993.0
"Nightmare-on-Elm-Street,-A",1984.0
Nightmare-on-Elm-Street-The-Final-Chapter,
Nine,2009.0
"Nines,-The",2013.0
Ninja-Assassin,2009.0
Ninotchka,1939.0
No-Strings-Attached,2011.0
Notting-Hi,1989.0
O-Brother-Where-Art-Thou%3f,2000.0
Oblivion,2013.0
Observe-and-Repor,2009.0
Obsessed,2004.0
Ocean's-Eleven,2001.0
Ocean's-Twelve,2004.0
Office-Space,1999.0
One-Flew-Over-the-Cuckoo's-Nes,1975.0
Only-God-Forgives,2013.0
Ordinary-People,1980.0
Orphan,2009.0
"Other-Boleyn-Girl,-The",2008.0
Out-of-Sig,1998.0
"Pacifier,-The",2005.0
Pandoru,2009.0
Panic-Roo,2002.0
Papadopoulos-&-Sons,2012.0
ParaNorman,2012.0
Paria,1969.0
"Passion-of-Joan-of-Arc,-The",1928.0
"Patriot,-The",2016.0
Pau,2017.0
Peeping-To,1960.0
Peggy-Sue-Got-Married,1986.0
Perfect-Creature,2006.0
"Perfect-World,-A",1993.0
"Perks-of-Being-a-Wallflower,-The",2012.0
Pet-Sematary-II,1992.0
Pet-Sematary,1989.0
Petulia,1968.0
Philadelphia,2005.0
Phone-Boo,2002.0
Pi,1998.0
"Pianist,-The",2002.0
"Piano,-The",1993.0
Pineapple-Express,2008.0
Pirates-of-the-Caribbean-Dead-Man's-Ches,2006.0
Pirates-of-the-Caribbean,
Pitch-Black,2000.0
Platinum-Blonde,1931.0
Pleasantville,1998.0
Point-Break,2015.0
Pokemon-Mewtwo-Returns,2000.0
"Postman,-The",1997.0
"Power-of-One,-The",1992.0
Precious,2009.0
Predator,1987.0
Pretty-Woman-(final-script),
Pretty-Woman,1990.0
Pride-and-Prejudice,1995.0
Pries,2016.0
"Princess-Bride,-The",1987.0
"Private-Life-of-Sherlock-Holmes,-The",1970.0
"Producer,-The",2005.0
"Program,-The",2015.0
Prom-Nig,2008.0
Prometheus,2012.0
"Prophecy,-The",1979.0
"Proposal,-The",2009.0
Psycho,1960.0
Public-Enemies,2009.0
Pulp-Fiction,1994.0
Punch-Drunk-Love,2002.0
Purple-Rain,1984.0
Quantum-Projec,2000.0
"Queen,-The",2016.0
Queen-of-the-Damned,2002.0
Rachel-Getting-Married,2008.0
Raging-Bu,1980.0
Raising-Arizona,1987.0
Rambling-Rose,1991.0
"Reader,-The",2008.0
Real-Genius,1985.0
Rear-Window,1954.0
Rebel-Without-A-Cause,1955.0
Red-Plane,2000.0
Red-Riding-Hood,2011.0
Reindeer-Games,2000.0
"Relic,-The",1997.0
Remember-Me,2010.0
"Replacements,-The",2000.0
Repo-Man,1984.0
"Rescuers-Down-Under,-The",1990.0
Reservoir-Dogs,1992.0
"Revenant,-The",2015.0
Revolutionary-Road,2008.0
Ringu,1998.0
Rise-of-the-Guardians,2012.0
Rise-of-the-Planet-of-the-Apes,2011.0
RKO-281,1999.0
"Road,-The",2000.0
Robin-Hood-Prince-of-Thieves,1991.0
"Rock,-The",2017.0
RocknRolla,2008.0
"Rocky-Horror-Picture-Show,-The",1975.0
Rocky,1976.0
Romeo-&-Julie,1996.0
Ronin,1998.0
"Roommate,-The",2010.0
Roughshod,1953.0
"Ruins,-The",2008.0
Runaway-Bride,1999.0
Rus,1934.0
Rush-Hour-2,2001.0
Rush-Hour,1997.0
Rushmore,1998.0
Rust-and-Bone,2012.0
S.-Darko,2017.0
"Saint,-The",2013.0
"Salton-Sea,-The",2002.0
"Sandlot-Kids,-The",1993.0
Save-the-Last-Dance,2001.0
Saving-Mr.-Banks,2013.0
Saving-Private-Ryan,1998.0
Saw,2004.0
Scarface,1983.0
Schindler's-Lis,1993.0
Scott-Pilgrim-vs-the-World,2010.0
Screa,2015.0
Scream-2,1997.0
Scream-3,2000.0
Se7en,1995.0
"Searchers,-The",1956.0
Semi-Pro,2008.0
Sense-and-Sensibility,1995.0
Serenity,2005.0
Serial-Mo,1994.0
"Sessions,-The",2012.0
"Seventh-Seal,-The",1957.0
"Sex,-Lies-and-Videotape",1989.0
Sex-and-the-City,1998.0
Sexual-Life,2005.0
Shakespeare-in-Love,1998.0
Shallow-Grave,1994.0
Shame,2015.0
"Shawshank-Redemption,-The",1994.0
She's-Out-of-My-League,2010.0
Sherlock-Holmes,2009.0
Shifty,2008.0
"Shining,-The",1980.0
"Shipping-News,-The",2001.0
Shivers,1975.0
Shrek-the-Third,2007.0
Shrek,2001.0
Sideways,2004.0
"Siege,-The",2016.0
Signs,2002.0
Silence-of-the-Lambs,1991.0
Silver-Bulle,1985.0
Silver-Linings-Playbook,2012.0
Simone,2002.0
Single-White-Female,1992.0
Sister-Ac,1992.0
Six-Degrees-of-Separation,1993.0
Sleepless-in-Seattle,1993.0
Sleepy-Hollow,2013.0
Sling-Blade,1996.0
Slither,2006.0
Slumdog-Millionaire,2008.0
Smashed,2012.0
Smokin'-Aces,2006.0
Snatc,2017.0
Snow-Falling-On-Cedars,1999.0
Snow-White-and-the-Huntsman,2012.0
So-I-Married-an-Axe-Murderer,1993.0
"Social-Network,-The",2010.0
Solaris,1972.0
Soldier,1998.0
Someone-To-Watch-Over-Me,1987.0
Something's-Gotta-Give,2003.0
Source-Code,2011.0
South-Park,1997.0
Spanglis,2004.0
Spare-Me,1993.0
Spartan,2004.0
Speed-Racer,1967.0
Sphere,1998.0
Spider-Man,2002.0
St.-Elmo's-Fire,1985.0
Star-Trek-First-Contac,1996.0
Star-Trek-Generations,1994.0
Star-Trek-II-The-Wrath-of-Khan,1982.0
Star-Trek-Nemesis,2002.0
Star-Trek-The-Motion-Picture,1979.0
Star-Trek,1966.0
Star-Wars-A-New-Hope,1977.0
Star-Wars-Attack-of-the-Clones,2002.0
Star-Wars-Return-of-the-Jedi,2014.0
Star-Wars-Revenge-of-the-Si,2005.0
Star-Wars-The-Empire-Strikes-Back,1985.0
Star-Wars-The-Force-Awakens,2015.0
Star-Wars-The-Phantom-Menace,1999.0
Starman,1984.0
Starship-Troopers,1997.0
State-and-Main,2000.0
Station-Wes,1948.0
Stepmo,1998.0
"Sting,-The",1973.0
Stir-of-Echoes,1999.0
Storytelling,2001.0
Strange-Days,1995.0
Strangers-on-a-Train,1951.0
"Stuntman,-The",1980.0
Sugar,2008.0
Sunset-Blvd,2006.0
Sunshine-Cleaning,2008.0
Super-8,2000.0
Superbad,2007.0
Supergir,2015.0
"Surfer-King,-The",2006.0
Surrogates,2009.0
Suspect-Zero,2004.0
Sweeney-Todd-The-Demon-Barber-of-Fleet-Stree,2007.0
"Sweet-Hereafter,-The",1997.0
Sweet-Smell-of-Success,1957.0
Swordfis,2001.0
"Synecdoche,-New-York",2008.0
Syriana,2005.0
Take-Shelter,2011.0
Taking-Lives,2004.0
"Taking-of-Pelham-One-Two-Three,-The",1974.0
Taking-Sides,2001.0
"Talented-Mr.-Ripley,-The",1999.0
Tall-in-the-Saddle,1944.0
Tamara-Drewe,2010.0
Taxi-Driver,1982.0
Ted,2012.0
Terminator-2-Judgement-Day,1991.0
Terminator-Salvation,2009.0
Terminator,1984.0
